name,width,height,class,x1,y1,x2,y2
-1x-1.jpg,2000,1363,with_mask,9,749,251,1163
-1x-1.jpg,2000,1363,without_mask,804,42,885,132
-1x-1.jpg,2000,1363,with_mask,583,33,699,128
-1x-1.jpg,2000,1363,with_mask,51,0,159,55
-1x-1.jpg,2000,1363,with_mask,460,180,568,291
-1x-1.jpg,2000,1363,with_mask,623,183,759,320
-1x-1.jpg,2000,1363,without_mask,1133,234,1215,330
-1x-1.jpg,2000,1363,without_mask,1039,302,1159,417
-1x-1.jpg,2000,1363,with_mask,1317,130,1430,259
-1x-1.jpg,2000,1363,with_mask,1602,212,1696,322
-1x-1.jpg,2000,1363,with_mask,1467,580,1634,723
-1x-1.jpg,2000,1363,with_mask,1801,426,1923,539
-1x-1.jpg,2000,1363,with_mask,921,491,1058,644
0002526673.jpg,1033,675,with_mask,451,227,504,309
0002526673.jpg,1033,675,with_mask,178,237,206,266
0009S6815V3PEU1N-C123-F4.jpg,915,660,with_mask,10,230,115,369
0009S6815V3PEU1N-C123-F4.jpg,915,660,with_mask,325,292,453,415
0009S6815V3PEU1N-C123-F4.jpg,915,660,with_mask,607,149,723,265
0009S6815V3PEU1N-C123-F4.jpg,915,660,with_mask,157,164,284,285
000b7b75-1600.jpg,1600,900,with_mask,0,262,103,372
000b7b75-1600.jpg,1600,900,with_mask,73,182,175,290
000b7b75-1600.jpg,1600,900,without_mask,300,150,415,242
000b7b75-1600.jpg,1600,900,with_mask,513,145,590,217
000b7b75-1600.jpg,1600,900,with_mask,613,132,725,207
000b7b75-1600.jpg,1600,900,with_mask,600,255,718,355
000b7b75-1600.jpg,1600,900,with_mask,200,255,375,422
000b7b75-1600.jpg,1600,900,with_mask,778,252,908,367
000b7b75-1600.jpg,1600,900,with_mask,1235,305,1373,447
000b7b75-1600.jpg,1600,900,without_mask,1023,177,1130,275
000_1OC3DT.jpg,1024,682,with_mask,21,123,93,182
000_1OC3DT.jpg,1024,682,with_mask,160,107,227,175
000_1OC3DT.jpg,1024,682,with_mask,286,104,356,172
000_1OC3DT.jpg,1024,682,with_mask,383,139,446,186
000_1OC3DT.jpg,1024,682,with_mask,435,132,499,199
000_1OC3DT.jpg,1024,682,with_mask,691,101,753,197
000_1OC3DT.jpg,1024,682,with_mask,829,148,902,240
000_1OC3DT.jpg,1024,682,with_mask,877,325,957,424
000_1OC3DT.jpg,1024,682,with_mask,784,394,870,471
000_1OC3DT.jpg,1024,682,with_mask,588,377,661,458
000_1OC3DT.jpg,1024,682,with_mask,500,294,570,393
000_1OC3DT.jpg,1024,682,with_mask,311,366,402,445
000_1OC3DT.jpg,1024,682,with_mask,105,301,180,388
000_1ov3n5_0.jpeg,1240,698,with_mask,487,131,590,262
001_1024.jpeg,1024,576,with_mask,233,41,355,186
001_1024.jpeg,1024,576,with_mask,490,154,586,260
001_1024.jpeg,1024,576,with_mask,637,271,696,336
001_1024.jpeg,1024,576,with_mask,717,323,771,370
001_1024.jpeg,1024,576,with_mask,798,271,851,327
001_1024.jpeg,1024,576,with_mask,870,354,906,401
002_1024.jpeg,1024,576,with_mask,0,224,30,321
002_1024.jpeg,1024,576,with_mask,143,246,224,340
002_1024.jpeg,1024,576,with_mask,336,234,440,341
003_1024.jpeg,1024,576,with_mask,14,139,176,324
003_1024.jpeg,1024,576,with_mask,729,172,889,354
003_1024.jpeg,1024,576,with_mask,878,199,1021,348
004_1024.jpeg,1024,576,with_mask,370,141,534,308
0109-00176-096b1.jpg,540,835,with_mask,228,145,365,290
012106_1140x855.jpg,1140,855,with_mask,653,274,909,516
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,457,35,540,135
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,633,29,693,111
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,410,6,477,108
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,224,26,272,91
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,133,27,173,74
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,78,41,112,84
01242020_masks-qa_151720-780x520.jpg,780,520,with_mask,9,31,36,69
01242020_masks-qa_151720-780x520.jpg,780,520,without_mask,44,36,78,80
012420_coronoa_masks_web.jpg,1920,1080,with_mask,8,129,87,216
012420_coronoa_masks_web.jpg,1920,1080,with_mask,109,170,211,278
012420_coronoa_masks_web.jpg,1920,1080,without_mask,142,336,241,440
012420_coronoa_masks_web.jpg,1920,1080,with_mask,17,848,165,1001
012420_coronoa_masks_web.jpg,1920,1080,with_mask,444,67,557,161
012420_coronoa_masks_web.jpg,1920,1080,with_mask,472,353,581,476
012420_coronoa_masks_web.jpg,1920,1080,with_mask,266,631,376,774
012420_coronoa_masks_web.jpg,1920,1080,with_mask,171,724,309,874
